node_id,count,A,r,cL,word
21,0,89,4637979,5875646579855319531384455449573,1.2.1.1.1.1.1.2.1.1.1.2.1.2.1.1.1.2.2.2.1.1.1.1.2.1.1.1.1.4.1.2.3.2.2.1.1.1.1.1.1.2.1.1.2.1.2.2.1.1.1.1.2.1.1.1.2.2.1.1.1.2.2.1
22,0,89,14297769,6081570677345103070600885768279,2.1.1.1.1.1.1.1.1.1.1.1.1.2.1.3.2.1.1.1.3.2.1.1.2.1.1.1.1.2.1.2.2.1.2.2.1.1.1.1.1.1.1.1.2.1.2.2.2.1.1.1.3.1.1.1.3.1.1.3.1.1.2.1
23,0,89,7692969,6539980152870557445143442872407,2.1.1.1.1.1.1.1.1.2.1.1.3.1.1.1.1.3.1.3.1.1.2.1.2.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.2.2.1.3.1.4.1.1.1.2.1.1.1.1.2.3.3.1.1.1.2.1.1.1
24,0,89,16908665,9158340031297071389735967631751,2.1.2.1.1.1.1.1.3.1.1.1.1.1.2.1.1.2.2.1.1.1.1.1.1.1.1.2.1.1.1.1.1.1.2.2.1.1.1.2.5.1.2.1.1.4.1.1.1.1.1.1.1.2.1.2.1.1.1.1.1.3.2.2
25,0,89,9428665,44132845304288827649925980589127,2.1.2.3.2.1.2.1.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1.1.1.2.2.1.1.1.1
26,0,89,7687505,21140094003377662513392895124911,2.3.1.1.1.1.1.2.1.1.1.2.2.2.1.3.1.1.2.1.1.1.2.1.1.2.1.1.1.2.1.1.1.1.2.2.1.1.1.2.1.1.2.1.1.1.1.1.2.1.4.2.1.1.1.1.2.1.1.1.1.2.2.1
27,0,90,15914751,6773314724120325126716977636865,1.1.1.1.1.1.1.2.1.2.1.1.1.1.2.1.3.4.2.1.1.2.2.1.2.1.1.1.1.5.1.1.1.1.1.2.1.1.1.1.1.2.1.1.1.1.1.1.1.1.1.2.2.1.2.2.1.2.2.2.1.1.2.1
28,0,90,18619967,14938816678164328667158147849921,1.1.1.1.1.5.2.1.1.2.1.1.1.1.1.2.2.2.1.1.1.1.1.1.1.1.1.2.1.1.1.3.1.2.3.1.1.3.2.1.2.2.2.1.1.1.1.1.1.1.2.1.2.1.1.1.2.1.1.1.1.1.2.2
29,0,90,2943135,12300834851248952102915333665889,1.1.1.1.2.1.1.1.1.1.3.2.2.3.1.3.1.1.1.2.1.1.1.1.1.3.1.4.1.3.1.1.1.2.1.1.1.2.1.1.1.1.1.2.2.1.1.2.1.1.2.1.1.4.1.1.1.1.1.1.1.1.1.1
30,0,90,2643183,4794360534574388501321663723537,1.1.1.2.1.1.1.1.1.1.1.2.1.2.1.3.2.1.1.2.1.1.1.1.2.3.1.3.1.1.1.1.1.1.1.1.1.1.2.1.4.1.1.1.3.1.1.1.4.1.2.1.2.2.1.2.1.1.1.1.2.1.1.1
